"Use","Category"
"Adhesive Spout Unblocker","Micro-Nozzle Cleaners"
"Figure skeleton armature","Miniature Diorama Armatures"
"Miniature plant stem","Miniature Diorama Armatures"
"Floating object mount","Miniature Diorama Armatures"
"Micro antenna core","Miniature Diorama Armatures"
"Tiny scaffold frame","Miniature Diorama Armatures"
" Circuit board pin retainer","Miniature Component Securers"
" Micro-joint stabilizer","Miniature Component Securers"
" Model part fastener","Miniature Component Securers"
" Tiny wire splice","Miniature Component Securers"
" Small component clamp","Miniature Component Securers"
"Probe Reach Extender","Circuit Test Points"
"Signal Monitoring Tap","Circuit Test Points"
"Circuit Bridge Jumper","Circuit Test Points"
"Temporary Ground Connector","Circuit Test Points"
"Logic Test Hook","Circuit Test Points"
"Micro-Switch Flipper","Precision Tactile Actuators"
"Component Alignment Nudger","Precision Tactile Actuators"
"Bent Pin Straightener","Precision Tactile Actuators"
"Inkjet Print Head Cleaner","Micro-Nozzle Cleaners"
"Airbrush Tip Unblocker","Micro-Nozzle Cleaners"
"Fine Glue Dispenser Clean","Micro-Nozzle Cleaners"
"Microphone Port Unclogger","Micro-Nozzle Cleaners"
"Flying Object Suspension","Miniature Diorama Armatures"
"Miniature Tree Branching","Miniature Diorama Armatures"
"Drapery Flow Frame","Miniature Diorama Armatures"
"Tiny Weapon Core","Miniature Diorama Armatures"
"Microcircuit Heat Sink","Micro Thermal Probes"
"Localized Solder Wick","Micro Thermal Probes"
"Tiny Component Heater","Micro Thermal Probes"
"Thermistor Lead Extender","Micro Thermal Probes"
"Substrate Temperature Test","Micro Thermal Probes"
"Crack propagation sensor","Micro Strain Sensor Elements"
"Flexure displacement tracker","Micro Strain Sensor Elements"
"Micro-force transducer","Micro Strain Sensor Elements"
"Resonance shift indicator","Micro Strain Sensor Elements"
"Micro-component gripper","Micro Pick-and-Place Tools"
"ESD micro-part mover","Micro Pick-and-Place Tools"
"Solder paste dabber","Micro Pick-and-Place Tools"
"Cell positioning probe","Micro Pick-and-Place Tools"
"Test Point Jumper","Flexible Interconnect Leads"
"Micro-LED Power Lead","Flexible Interconnect Leads"
"Prototype Signal Coupler","Flexible Interconnect Leads"
"Trace Repair Wire","Flexible Interconnect Leads"
"Voltammetry working electrode","Micro-Electrochemical Probes"
"Micro-plating deposition tool","Micro-Electrochemical Probes"
"Biosensor active site","Micro-Electrochemical Probes"
"Local redox potential monitor","Micro-Electrochemical Probes"
"Single-cell stimulation wire","Micro-Electrochemical Probes"
"Micro-spot heater","Micro Thermal Probes"
"Local temperature sensor","Micro Thermal Probes"
"Thermal conductivity probe","Micro Thermal Probes"
"Micro-flow anemometer","Micro Thermal Probes"
"Targeted micro-cautery","Micro Thermal Probes"
"MEMS stress monitor","Micro Strain Sensor Elements"
"Cell stretch gauge","Micro Strain Sensor Elements"
"Micro-robot joint strain","Micro Strain Sensor Elements"
"Thin-film crack sensor","Micro Strain Sensor Elements"
"Implant flex sensor","Micro Strain Sensor Elements"
"Small component positioner","Micro Pick-and-Place Tools"
"Wafer fragment mover","Micro Pick-and-Place Tools"
"Die attach probe","Micro Pick-and-Place Tools"
"Micro-lens manipulator","Micro Pick-and-Place Tools"
"Flex circuit jumper","Flexible Interconnect Leads"
"Wearable device wiring","Flexible Interconnect Leads"
"Micro-robot joint conductor","Flexible Interconnect Leads"
"Prototype board link","Flexible Interconnect Leads"
"Microsensor power bridge","Flexible Interconnect Leads"
"Analyte detection electrode","Micro-Electrochemical Probes"
"Micro-pH sensor core","Micro-Electrochemical Probes"
"Neural stimulation tip","Micro-Electrochemical Probes"
"Electrocatalyst support filament","Micro-Electrochemical Probes"
"Miniature reference electrode","Micro-Electrochemical Probes"
"RFID tag element","Micro RF Antennas"
"Wearable sensor antenna","Micro RF Antennas"
"Implantable telemetry coil","Micro RF Antennas"
"Heat-activated drug release","Localized Micro-Heaters"
"Sterile micro-probe tip","Localized Micro-Heaters"
"Heated gas sensor","Localized Micro-Heaters"
"Slot debris extractor","Micro Retrieval Hooks"
"SMD part hook","Micro Retrieval Hooks"
"Port lint removal","Micro Retrieval Hooks"
"Iontophoretic drug release","Micro-Electrode Implants"
"Neurotransmitter sensor wire","Micro-Electrode Implants"
"Tissue scaffold former","Micro-Electrode Implants"
"Myoelectric signal recorder","Micro-Electrode Implants"
"Cell culture spotter","Micro Fluid Applicators"
"Electrowetting fluid probe","Micro Fluid Applicators"
"Localized reagent dispenser","Micro Fluid Applicators"
"Bio-implant data link","Micro RF Antennas"
"Flexible wearable sensor tag","Micro RF Antennas"
"Inter-chip data bridge","Micro RF Antennas"
"Wireless microsensor coupler","Micro RF Antennas"
"Pinpoint component soldering","Localized Micro-Heaters"
"Trigger micro-actuator movement","Localized Micro-Heaters"
"Prompt localized micro-reaction","Localized Micro-Heaters"
"Evaporate microfluidic droplet","Localized Micro-Heaters"
"Recover watch gears","Micro Retrieval Hooks"
"Hook internal micro-latch","Micro Retrieval Hooks"
"Snag electronic pins","Micro Retrieval Hooks"
"Retrieve cell cluster","Micro Retrieval Hooks"
"*   Suture implant leads.","Micro-Electrode Implants"
"*   Bridge neural gap.","Micro-Electrode Implants"
"*   Guide probe insertion.","Micro-Electrode Implants"
"*   Stimulate local neurons.","Micro-Electrode Implants"
"*   Verify electrode contact.","Micro-Electrode Implants"
"Dispense nanoliter drops.","Micro Fluid Applicators"
"Seed cell cultures.","Micro Fluid Applicators"
"Apply reagent spots.","Micro Fluid Applicators"
"Coat sensor surfaces.","Micro Fluid Applicators"
"Fuse bypass jumper","Temporary Circuit Bridge"
"Motherboard power-on jumper","Temporary Circuit Bridge"
"PCB trace bridge","Temporary Circuit Bridge"
"Bypassing a switch","Temporary Circuit Bridge"
"Component soldering brace","Miniature Component Holder"
"LED alignment jig","Miniature Component Holder"
"IC leg straightener","Miniature Component Holder"
"Desoldering component lifter","Miniature Component Holder"
"SMD placement tool","Miniature Component Holder"
"Figurine eyeglasses frame","Tiny Sculptural Element"
"Diorama tree armature","Tiny Sculptural Element"
"Miniature wrought-iron gate","Tiny Sculptural Element"
"Kinetic sculpture component","Tiny Sculptural Element"
"Model robot antennae","Tiny Sculptural Element"
"Battery contact bridge","Emergency Tool Improviser"
"Eyeglass hinge pin","Emergency Tool Improviser"
"Improvised zipper pull","Emergency Tool Improviser"
"Nozzle clearing probe","Emergency Tool Improviser"
"SMD component jumper","Conductivity Test Probe"
"Soil moisture sensor probe","Conductivity Test Probe"
"Audio jack signal probe","Conductivity Test Probe"
"Showerhead jet de-scaler","Tiny Orifice Cleaner"
"Glue bottle tip reamer","Tiny Orifice Cleaner"
"Speaker grille lint remover","Tiny Orifice Cleaner"
"Carburetor jet reamer","Tiny Orifice Cleaner"
"Faucet aerator screen poker","Tiny Orifice Cleaner"
"CMOS reset jumper","*   Circuit Jumper & Probe"
"SMD component leg probe","*   Circuit Jumper & Probe"
"Breadboard adjacent row jumper","*   Circuit Jumper & Probe"
"Motherboard power-on short","*   Circuit Jumper & Probe"
"Low-current fuse bypass","*   Circuit Jumper & Probe"
"Stop-motion puppet spine","*   Tiny Flexible Armatures"
"Model insect wing frame","*   Tiny Flexible Armatures"
"Diorama vine core","*   Tiny Flexible Armatures"
"Miniature figure posing support","*   Tiny Flexible Armatures"
"Doll clothes collar stiffener","*   Tiny Flexible Armatures"
"Charging port lint hook","*   Delicate Clearing Instruments"
"Electric razor foil debrider","*   Delicate Clearing Instruments"
"3D printer nozzle poker","*   Delicate Clearing Instruments"
"Speaker grille dust hook","*   Delicate Clearing Instruments"
"Garlic press hole clearer","*   Delicate Clearing Instruments"
"Broken battery door latch","*   Makeshift Fastener & Hanger"
"Temporary jewelry clasp","*   Makeshift Fastener & Hanger"
"Model painting hook","*   Makeshift Fastener & Hanger"
"Worry coil","*   Tactile Fidget Manipulatives"
"Flicker tine","*   Tactile Fidget Manipulatives"
"Palm tracing tool","*   Tactile Fidget Manipulatives"
"Finger compression spring","*   Tactile Fidget Manipulatives"
"One-handed knot puzzle","*   Tactile Fidget Manipulatives"
"Emergency fuse shunt","Temporary Circuit Bridge"
"Series battery link","Temporary Circuit Bridge"
"Capacitive touch probe","Temporary Circuit Bridge"
"LED soldering jig","Miniature Component Holder"
"SMD component press","Miniature Component Holder"
"Flex-arm soldering aid","Miniature Component Holder"
"Lifted pin contact bridge","Miniature Component Holder"
"Precision screw starter","Miniature Component Holder"
"Diorama rebar detail","Tiny Sculptural Element"
"Miniature armature skeleton","Tiny Sculptural Element"
"Botanical sculpture tendrils","Tiny Sculptural Element"
"Component test bypass","Temporary Circuit Bridge"
"Broken trace patch","Temporary Circuit Bridge"
"Emergency battery contact","Temporary Circuit Bridge"
"Power-on pin short","Temporary Circuit Bridge"
"SMD pad-to-via bridge","Temporary Circuit Bridge"
"Figurine painting handle","Miniature Component Holder"
"Gluing jig for models","Miniature Component Holder"
"Botanical specimen drying hook","Miniature Component Holder"
"Watch gear placement tool","Miniature Component Holder"
"Bead knotting third hand","Miniature Component Holder"
"Fairy wing framework","Tiny Sculptural Element"
"Diorama wrought iron fence","Tiny Sculptural Element"
"Insect sculpture antennae","Tiny Sculptural Element"
"Crevice retrieval hook","Emergency Tool Improviser"
"Eyeglass hinge splint","Emergency Tool Improviser"
"Splinter probe","Emergency Tool Improviser"
"Miniature dipstick","Conductivity Test Probe"
"Clay air bubble poker","Conductivity Test Probe"
"Putty curing depth probe","Conductivity Test Probe"
"Material fragility tester","Conductivity Test Probe"
"Gas burner jet cleaner","Tiny Orifice Cleaner"
"Dried glue nozzle reamer","Tiny Orifice Cleaner"
"Shower head mineral clearer","Tiny Orifice Cleaner"
"Woodwind keyhole cleaner","Tiny Orifice Cleaner"
"Dollhouse plant vine","*   Tiny Flexible Armatures"
"Fountain pen feed channel","*   Delicate Clearing Instruments"
"Aerosol spray tip clearer","*   Delicate Clearing Instruments"
"Sewing needle eye reamer","*   Delicate Clearing Instruments"
"Espresso wand steam vent","*   Delicate Clearing Instruments"
"Broken jewelry chain link","*   Makeshift Fastener & Hanger"
"Toy axle cotter pin","*   Makeshift Fastener & Hanger"
"Tea bag string anchor","*   Makeshift Fastener & Hanger"
"Seedling stem support tie","*   Makeshift Fastener & Hanger"
"Lapel pin back replacement","*   Makeshift Fastener & Hanger"
"Worry wire bender","*   Tactile Fidget Manipulatives"
"Desk doodle sculptor","*   Tactile Fidget Manipulatives"
"Infinity loop tracer","*   Tactile Fidget Manipulatives"
"Knotted pressure point tool","*   Tactile Fidget Manipulatives"
"Watchband pin pusher","Precision Component Adjuster"
"Air vent louver adjuster","Precision Component Adjuster"
"Dropped stitch retrieval hook","Precision Component Adjuster"
"Model decal positioning tool","Precision Component Adjuster"
"Keyboard crevice extractor","Micro-Item Retrieval Tools"
"Lost thread-end puller","Micro-Item Retrieval Tools"
"O-ring seating hook","Micro-Item Retrieval Tools"
"Sink drain jewelry snag","Micro-Item Retrieval Tools"
"Miniature sculpting rib","Custom Gauge Formers"
"Contour replication gauge","Custom Gauge Formers"
"Rivet spacing jig","Custom Gauge Formers"
"Jewelry wire bending mandrel","Custom Gauge Formers"
"Bookbinding signature hole spacer","Custom Gauge Formers"
"Custom filigree stamp","Miniature Detailing Implements"
"Diorama vine armature","Miniature Detailing Implements"
"Curved paint masking guide","Miniature Detailing Implements"
"Panel line scribing template","Miniature Detailing Implements"
"Custom angle gluing brace","Miniature Detailing Implements"
"Thread snag repair hook","Static Discharge Wands"
"Clay texturing tool","Static Discharge Wands"
"Seedling root pick","Static Discharge Wands"
"Paint marbling stylus","Static Discharge Wands"
"Heated wax sculpting point","*   Micro Thermal Bridges"
"Thermal deburring tool","*   Micro Thermal Bridges"
"Spot plastic film welder","*   Micro Thermal Bridges"
"Ice etching stylus","*   Micro Thermal Bridges"
"Bonsai tree model armature","*   Miniature Decorative Elements"
"Doll hat brim wire","*   Miniature Decorative Elements"
"Book nook balustrade","*   Miniature Decorative Elements"
"Claymation puppet skeleton","*   Miniature Decorative Elements"
"Vial security twist","*   Micro Tamper Indicators"
"Calibrated dial lock","*   Micro Tamper Indicators"
"Evidence bag zipper seal","*   Micro Tamper Indicators"
"Contract folio locking pin","*   Micro Tamper Indicators"
"Embedded seal authenticator","*   Micro Tamper Indicators"
"Microfossil orientation hook","*   Tiny Sample Manipulators"
"Pollen transfer loop","*   Tiny Sample Manipulators"
"Static particle sampling probe","*   Tiny Sample Manipulators"
"Insect appendage positioner","*   Tiny Sample Manipulators"
"Micro-weaving thread guide","*   Tiny Sample Manipulators"
"Micro-crack percussion sounder","*   Acoustic Tapping Tools"
"Hollow seed sounder","*   Acoustic Tapping Tools"
"Miniature chime striker","*   Acoustic Tapping Tools"
"Veneer delamination sounder","*   Acoustic Tapping Tools"
"Geode cavity resonance probe","*   Acoustic Tapping Tools"
"Laminar flow feeler","Flexible Signal Antennas"
"Surface resonance visualizer","Flexible Signal Antennas"
"Miniature sundial gnomon","Flexible Signal Antennas"
"Tactile boundary probe","Flexible Signal Antennas"
"Meniscus deformation indicator","Flexible Signal Antennas"
"Wind instrument valve clearer","Fine Bore Cleaners"
"Hearing aid vent poker","Fine Bore Cleaners"
"Overlocker looper threader","Micro Threading Guides"
"Seed bead stringing guide","Micro Threading Guides"
"Drawstring casing re-threader","Micro Threading Guides"
"Fly tying bobbin threader","Micro Threading Guides"
"Model parts gluing clamp","Temporary Component Fasteners"
"Boutonnière assembly pin","Temporary Component Fasteners"
"Improvised cotter pin","Temporary Component Fasteners"
"Clasp placement bead stop","Temporary Component Fasteners"
"Trouser cuff fitting pin","Temporary Component Fasteners"
"Micro-dot paint applicator","Micro Electrode Tips"
"Pouncing pattern perforator","Micro Electrode Tips"
"Miniature decal manipulator","Micro Electrode Tips"
"Miniature tile grouting spacer","*   Precision Gap Gauges"
"Guitar string action gauge","*   Precision Gap Gauges"
"Letterpress furniture spacing","*   Precision Gap Gauges"
"Lock pin tumbler height gauge","*   Precision Gap Gauges"
"Wet varnish thickness check","*   Precision Gap Gauges"
"Orchid flower spike support","*   Miniature Structural Supports"
"Architectural model rebar","*   Miniature Structural Supports"
"Pop-up element support strut","*   Miniature Structural Supports"
"Gumpaste flower internal support","*   Miniature Structural Supports"
"Entomology pinning brace","*   Delicate Specimen Immobilizers"
"Microscope slide subject positioner","*   Delicate Specimen Immobilizers"
"Fossil fragment alignment jig","*   Delicate Specimen Immobilizers"
"Pressed flower petal retainer","*   Delicate Specimen Immobilizers"
"Historic textile thread stabilizer","*   Delicate Specimen Immobilizers"
"Watch movement dust hook","*   Micro Debris Extractors"
"Sewing machine feed dog cleaner","*   Micro Debris Extractors"
"Mechanical keyboard switch cleaner","*   Micro Debris Extractors"
"Encaustic painting detail scriber","Micro Thermal Probes"
"Fray-stop thread cauterizer","Micro Thermal Probes"
"Hot sugar filament spinner","Micro Thermal Probes"
"Wax seal monogram stylus","Micro Thermal Probes"
"Pyrography detail point","Micro Thermal Probes"
"Micro-mechanical lever adjuster","Fine Adjustment Manipulators"
"Bonsai branchlet trainer","Fine Adjustment Manipulators"
"Dropped stitch lifter","Fine Adjustment Manipulators"
"Loom heddle threader","Fine Adjustment Manipulators"
"Watch hand setter","Fine Adjustment Manipulators"
"Petri dish colony isolator","Miniature Sample Dividers"
"Micro-palette paint well","Miniature Sample Dividers"
"Forensic soil layer fence","Miniature Sample Dividers"
"Dry pigment portioning rake","Miniature Sample Dividers"
"Geode crystal section marker","Miniature Sample Dividers"
"Clay Reptile Skin Stippler","Micro Scale Sculpting Wires"
"Polymer Clay Eye Socket Scoop","Micro Scale Sculpting Wires"
"Dollhouse Wood Grain Scribe","Micro Scale Sculpting Wires"
"Diorama Tarp Crease Former","Micro Scale Sculpting Wires"
"Prism Table Rotation Lever","Optical Component Aligners"
"Miniature Lens Nudger","Optical Component Aligners"
"Telescope Secondary Mirror Shim","Optical Component Aligners"
"Diffraction Grating Placement Jig","Optical Component Aligners"
"Viscous Fluid Pattern Starter","*   Electromagnetic Field Inducers"
"Crystal Growth Nucleation Site","*   Electromagnetic Field Inducers"
"Kinetic Sculpture Pivot Axle","*   Electromagnetic Field Inducers"
"Acoustic Resonance Damper","*   Electromagnetic Field Inducers"
"Static Grass Applicator Comb","*   Electromagnetic Field Inducers"
"Watchmaker's Oiling Pin","*   Small Reagent Applicators"
"Microscopy Stain-Line Drawer","*   Small Reagent Applicators"
"Ceramic Crack Glaze Filler","*   Small Reagent Applicators"
"Catalyst Deposition Point-Tool","*   Small Reagent Applicators"
"Fairy wing vein frame","*   Model Making Armatures"
"Creature tentacle core","*   Model Making Armatures"
"Tattered flag stiffener","*   Model Making Armatures"
"Greeble piping support","*   Model Making Armatures"
"Trace bypass","Temporary Circuit Bridge"
"Jumper two pins","Temporary Circuit Bridge"
"Fuse shunt test","Temporary Circuit Bridge"
"Breadboard point connector","Temporary Circuit Bridge"
"Board reset shunt","Temporary Circuit Bridge"
"SMD soldering jig","Miniature Component Holder"
"Component lead extender","Miniature Component Holder"
"Vertical diode mount","Miniature Component Holder"
"Test pin receptacle","Miniature Component Holder"
"Probe tip stabilizer","Miniature Component Holder"
"Micro fence detail","Tiny Sculptural Element"
"Dollhouse earring loop","Tiny Sculptural Element"
"Stop-motion finger armature","Tiny Sculptural Element"
"Bonsai tree branch","Tiny Sculptural Element"
"Resin inclusion anchor","Tiny Sculptural Element"
"Seedling support stake","Miniature Component Holder"
"Artistic wire sculpture element","Miniature Component Holder"
"Miniature furniture detail","Tiny Sculptural Element"
"Dollhouse accessory hinge","Tiny Sculptural Element"
"Ornamental craft embellishment","Tiny Sculptural Element"
"Book page holder","Tiny Sculptural Element"
"Splint for tiny repair","Emergency Tool Improviser"
"Lock pick bypass tool","Emergency Tool Improviser"
"Small item retrieval hook","Emergency Tool Improviser"
"Temporary button fastener","Emergency Tool Improviser"
"Seed germination tester","Conductivity Test Probe"
"Plant support tie","Conductivity Test Probe"
"Glue drying aid","Conductivity Test Probe"
"Ink pen cleaner","Tiny Orifice Cleaner"
"Small spray tip","Tiny Orifice Cleaner"
"Pipe thread seal","Tiny Orifice Cleaner"
"Jewelry chain threader","Tiny Orifice Cleaner"
"Sculpture support","*   Tiny Flexible Armatures"
"Dollhouse furniture strut","*   Tiny Flexible Armatures"
"Miniature plant trainer","*   Tiny Flexible Armatures"
"Embroidery stiffener","*   Tiny Flexible Armatures"
"Model detail holder","*   Tiny Flexible Armatures"
"Seed hole opener","*   Delicate Clearing Instruments"
"Small groove scraper","*   Delicate Clearing Instruments"
"Crafting hole poker","*   Delicate Clearing Instruments"
"Delicate dust remover","*   Delicate Clearing Instruments"
"Tiny stitch holder","*   Makeshift Fastener & Hanger"
"Button loop repair","*   Makeshift Fastener & Hanger"
"Knot untangler","*   Makeshift Fastener & Hanger"
"Ornament hanger loop","*   Makeshift Fastener & Hanger"
"Baggie seal clip","*   Makeshift Fastener & Hanger"
"Tiny stress reliever bend","*   Tactile Fidget Manipulatives"
"Wire doodle creator","*   Tactile Fidget Manipulatives"
"Miniature model support","*   Tactile Fidget Manipulatives"
"Sensory manipulation tool","*   Tactile Fidget Manipulatives"
"Thread guide helper","*   Tactile Fidget Manipulatives"
"Dial fine tuner","Precision Component Adjuster"
"Screw head starter","Precision Component Adjuster"
"Lens focus slider","Precision Component Adjuster"
"Small knob positioner","Precision Component Adjuster"
"Micro-gasket seater","Precision Component Adjuster"
"Bead placer","Micro-Item Retrieval Tools"
"Craft fastener holder","Micro-Item Retrieval Tools"
"Tiny component picker","Micro-Item Retrieval Tools"
"Custom wire shaper","Custom Gauge Formers"
"Tiny mold former","Custom Gauge Formers"
"Sculptural element jig","Custom Gauge Formers"
"Small object alignment tool","Custom Gauge Formers"
"Artistic bending guide","Custom Gauge Formers"
"Pinstripe applicator","Miniature Detailing Implements"
"Grout line smoother","Miniature Detailing Implements"
"Tiny decal applicator","Miniature Detailing Implements"
"Seam detailer","Miniature Detailing Implements"
"Embossing tool","Miniature Detailing Implements"
"Dust magnet rod","Static Discharge Wands"
"Static lint remover","Static Discharge Wands"
"Hairspray nozzle cleaner","Static Discharge Wands"
"Plastic wrap unsticking","Static Discharge Wands"
"Static cling release","Static Discharge Wands"
"Tiny seed planter","*   Micro Thermal Bridges"
"Model miniature brace","*   Micro Thermal Bridges"
"Thread untangler tool","*   Micro Thermal Bridges"
"Small object stabilizer","*   Micro Thermal Bridges"
"Tiny sculpted adornment","*   Miniature Decorative Elements"
"Wire-wrapped charm base","*   Miniature Decorative Elements"
"Threaded tassel topper","*   Miniature Decorative Elements"
"Jewelry finding accent","*   Miniature Decorative Elements"
"Seal indicator loop","*   Micro Tamper Indicators"
"Fragile seal reinforcement","*   Micro Tamper Indicators"
"Tiny lever actuator","*   Micro Tamper Indicators"
"Secure closure point","*   Micro Tamper Indicators"
"Specimen pointer","*   Tiny Sample Manipulators"
"Material separator","*   Tiny Sample Manipulators"
"Thread guide in tight spots","Fine Bore Cleaners"
"Pore unclogger","Fine Bore Cleaners"
"Small tube de-blocker","Fine Bore Cleaners"
"Paintbrush bristle separator","Fine Bore Cleaners"
"Jewelry chain detangler","Micro Threading Guides"
"Bead hole aligner","Micro Threading Guides"
"Embroidery thread separator","Micro Threading Guides"
"Hair extension weaver","Micro Threading Guides"
"Button secure loop","Temporary Component Fasteners"
"Fabric sample holder","Temporary Component Fasteners"
"Model piece temporary join","Temporary Component Fasteners"
"Craft embellishment tack","Temporary Component Fasteners"
"Thread spool stopper","Temporary Component Fasteners"
"Micro needle holder","Micro Electrode Tips"
"Delicate hook","Micro Electrode Tips"
"Seed planter probe","Micro Electrode Tips"
"Alignment marker","*   Precision Gap Gauges"
"Surface texture checker","*   Precision Gap Gauges"
"Paint drip separator","*   Precision Gap Gauges"
"Dollhouse furniture support","*   Miniature Structural Supports"
"Book spine stiffener","*   Miniature Structural Supports"
"Tiny bloom holder","*   Delicate Specimen Immobilizers"
"Delicate thread unwinder","*   Delicate Specimen Immobilizers"
"Lint trap cleaner","*   Micro Debris Extractors"
"Small crack duster","*   Micro Debris Extractors"
"Grain sifter","*   Micro Debris Extractors"
"Micro-component retriever","*   Micro Debris Extractors"
"Heat transfer sensor","Micro Thermal Probes"
"Wax pattern sculptor","Micro Thermal Probes"
"Tiny dough divider","Micro Thermal Probes"
"Resin curing checker","Micro Thermal Probes"
"Seal poker","Fine Adjustment Manipulators"
"Component straightener","Fine Adjustment Manipulators"
"Seed sorting tool","Miniature Sample Dividers"
"Granule sample separator","Miniature Sample Dividers"
"Spice portioner","Miniature Sample Dividers"
"Art pigment divider","Miniature Sample Dividers"
"Miniature bait holder","Miniature Sample Dividers"
"Clay shaping probe","Micro Scale Sculpting Wires"
"Diorama detail builder","Micro Scale Sculpting Wires"
"Wax carving tool","Micro Scale Sculpting Wires"
"Model terrain texture","Micro Scale Sculpting Wires"
"Mirror holder","Optical Component Aligners"
"Filter seater","Optical Component Aligners"
"Prism clamp","Optical Component Aligners"
"Beam splitter support","Optical Component Aligners"
"Micro antenna element","*   Electromagnetic Field Inducers"
"Static charge distributor","*   Electromagnetic Field Inducers"
"Friction surface modifier","*   Electromagnetic Field Inducers"
"Resonance modulator","*   Electromagnetic Field Inducers"
"Tiny brush scrubber","*   Small Reagent Applicators"
"Sealant smoothing tool","*   Small Reagent Applicators"
"Dye transfer probe","*   Small Reagent Applicators"
"Key tensioner","*   Fine Lock Picking Tools"
"Tumbler feeler","*   Fine Lock Picking Tools"
"Security pin adjuster","*   Fine Lock Picking Tools"
"Lock inspection probe","*   Fine Lock Picking Tools"
"Casing shim","*   Fine Lock Picking Tools"
"Jewelry beading temporary stop","Miniature Component Holder"
"Fly-tying material clamp","Miniature Component Holder"
"Watch gear cleaning basket","Miniature Component Holder"
"Suture holder","Miniature Component Holder"
"Model kit peg","Miniature Component Holder"
"Miniature easel frame","Tiny Sculptural Element"
"Wire-wrap accent bead","Tiny Sculptural Element"
"Tiny armature support","Tiny Sculptural Element"
"Sculpture reinforcement rod","Tiny Sculptural Element"
"Artistic embellishment wire","Tiny Sculptural Element"
"Lock pick shim","Emergency Tool Improviser"
"Secure loose hem","Emergency Tool Improviser"
"Resin casting probe","Conductivity Test Probe"
"Glue application wire","Conductivity Test Probe"
"Paint detail tool","Conductivity Test Probe"
"Thread guiding rod","Conductivity Test Probe"
"Tiny wire stirrer","Conductivity Test Probe"
"Small channel scraper","Tiny Orifice Cleaner"
"Lubricant applicator tip","Tiny Orifice Cleaner"
"Sculpting clay support","*   Tiny Flexible Armatures"
"Diorama object anchor","*   Tiny Flexible Armatures"
"Fiber art structure","*   Tiny Flexible Armatures"
"Floral arrangement stem","*   Tiny Flexible Armatures"
"Clog dislodger","*   Delicate Clearing Instruments"
"Thread cleaner","*   Delicate Clearing Instruments"
"Tiny hole probe","*   Delicate Clearing Instruments"
"Seed planter guide","*   Delicate Clearing Instruments"
"Resin mold scraper","*   Delicate Clearing Instruments"
"Button holder","*   Makeshift Fastener & Hanger"
"Fabric repair stitch","*   Makeshift Fastener & Hanger"
"Knit stitch keeper","*   Makeshift Fastener & Hanger"
"Sensory wire twister","*   Tactile Fidget Manipulatives"
"Miniature sculptor's tool","*   Tactile Fidget Manipulatives"
"Tactile puzzle piece","*   Tactile Fidget Manipulatives"
"Thread organizer loop","*   Tactile Fidget Manipulatives"
"Small gear alignment","Precision Component Adjuster"
"Tiny hinge lubricant applicator","Precision Component Adjuster"
"Micro-fastener starter","Precision Component Adjuster"
"Model seam smoothing","Precision Component Adjuster"
"Dust bunny extractor","Micro-Item Retrieval Tools"
"Tiny screw catcher","Micro-Item Retrieval Tools"
"Loose thread lifter","Micro-Item Retrieval Tools"
"Small gap cleaner","Micro-Item Retrieval Tools"
"Wireform template maker","Custom Gauge Formers"
"Stitch guide creation","Custom Gauge Formers"
"Bead hole enlarger","Custom Gauge Formers"
"Textile embellishment tool","Miniature Detailing Implements"
"Surface static remover","Static Discharge Wands"
"Lint hair grabber","Static Discharge Wands"
"Thread static detangler","Static Discharge Wands"
"Tiny support struts","*   Micro Thermal Bridges"
"Precision dust pusher","*   Micro Thermal Bridges"
"Seed positioning guide","*   Micro Thermal Bridges"
"Model tree armatures","*   Micro Thermal Bridges"
